date,first_open_users,narration_start_users,narration_complete_users
2026-06-01,7,,
2026-06-02,5,,
2026-06-03,8,,
2026-06-04,5,,
2026-06-05,9,,
2026-06-06,3,,
2026-06-07,2,,
2026-06-08,1,,
2026-06-11,5,,
2026-06-12,6,,
2026-06-13,1,,
2026-06-14,1,,
2026-06-15,1,,
2026-06-17,1,,
2026-06-18,3,,
2026-06-19,5,,
2026-06-20,10,,
2026-06-23,6,,
2026-06-25,1,,
2026-06-26,6,,
2026-06-28,3,,
2026-06-29,11,,
2026-06-30,6,,
2026-07-01,1,,
2026-07-02,6,,
2026-07-03,7,,
2026-07-04,4,,
2026-07-05,9,,
2026-07-06,4,,
2026-07-07,2,,
2026-07-08,6,,
2026-07-09,2,,
2026-07-10,2,,
2026-07-11,1,,
2026-07-12,1,,
2026-07-15,1,,
2026-07-17,1,,
2026-07-19,1,,
2026-07-22,2,,
2026-07-23,6,,
2026-07-24,12,,
2026-07-25,4,,
2026-07-26,16,1,1
2026-07-27,13,,
2026-07-28,9,,
2026-07-29,6,,
2026-07-30,15,1,
2026-07-31,6,,
2026-08-01,6,,
2026-08-02,1,1,
2026-08-05,2,1,
2026-08-06,7,1,
2026-08-07,2,2,1
2026-08-08,5,1,
2026-08-09,2,1,1
2026-08-10,2,,
2026-08-11,4,,
2026-08-12,1,,
2026-08-15,1,,
2026-08-18,2,,
2026-08-19,1,2,
2026-08-20,16,1,
2026-08-21,8,3,
2026-08-22,4,,
2026-08-23,1,,
2026-08-24,7,,
