date,web_active_users,web_new_users,ios_active_users,ios_new_users,android_active_users,android_new_users
2026-05-28,,,2,1,8,8
2026-05-29,,,1,0,8,8
2026-05-30,,,1,0,5,5
2026-05-31,,,2,1,18,18
2026-06-01,1,1,1,0,7,7
2026-06-02,1,1,1,0,5,5
2026-06-03,3,2,1,0,8,8
2026-06-04,,,1,0,5,5
2026-06-05,,,,,9,9
2026-06-06,,,1,0,3,3
2026-06-07,,,1,1,1,1
2026-06-08,,,,,1,1
2026-06-10,,,1,0
2026-06-11,1,0,,,5,5
2026-06-12,1,1,1,0,6,6
2026-06-13,,,,,1,1
2026-06-14,,,,,1,1
2026-06-15,,,1,0,1,1
2026-06-16,,,1,0
2026-06-17,,,1,0,1,1
2026-06-18,,,1,0,3,3
2026-06-19,,,1,0,5,5
2026-06-20,2,2,1,0,10,10
2026-06-21,4,2,1,0
2026-06-22,7,5
2026-06-23,2,1,1,0,6,6
2026-06-24,2,0
2026-06-25,4,1,2,1
2026-06-26,,,,,6,6
2026-06-27,4,4,1,0
2026-06-28,3,1,,,3,3
2026-06-29,1,1,4,3,7,7
2026-06-30,3,3,3,1,5,5
2026-07-01,2,0,,,1,1
2026-07-02,1,0,,,6,6
2026-07-03,1,0,3,3,4,4
2026-07-04,1,1,1,1,3,3
2026-07-05,1,0,,,9,9
2026-07-06,,,,,4,4
2026-07-07,,,,,2,2
2026-07-08,3,1,1,0,6,7
2026-07-09,1,0,2,1,1,1
2026-07-10,2,2,,,2,2
2026-07-11,4,4,1,1,,
2026-07-12,2,0,3,1,,
2026-07-13,3,3,,,,
2026-07-14,3,2,1,0,,
2026-07-15,2,2,1,1,,
2026-07-16,1,1,,,,
2026-07-17,,,2,1,,
2026-07-19,,,1,1,,
2026-07-20,2,0,1,0,,
2026-07-21,2,1,1,0,,
2026-07-22,1,0,2,0,2,2
2026-07-23,1,0,1,0,6,5
2026-07-24,,,5,4,7,7
2026-07-25,,,1,0,5,4
2026-07-26,1,1,1,0,16,15
2026-07-27,1,0,3,1,11,10
2026-07-28,1,1,2,0,8,8
2026-07-29,1,1,1,1,5,5
2026-07-30,,,2,1,14,14
2026-07-31,1,1,3,2,4,4
2026-08-01,1,1,1,0,6,6
2026-08-02,,,1,0,1,1
2026-08-04,,,1,0,,
2026-08-05,5,5,2,2,,
2026-08-06,2,2,5,3,4,4
2026-08-07,4,4,3,2,,
2026-08-08,2,1,2,2,2,2
2026-08-09,7,6,3,1,1,1
2026-08-10,,,3,0,2,2
2026-08-11,1,1,2,1,3,4
2026-08-12,,,1,1,,
2026-08-13,,,1,0,,
2026-08-14,,,1,0,,
2026-08-15,,,2,1,,
2026-08-16,,,1,0,,
2026-08-17,,,2,0,,
2026-08-18,,,3,1,1,1
2026-08-19,2,2,3,1,,
2026-08-20,2,2,2,0,18,16
2026-08-21,,,4,2,6,6
2026-08-22,,,1,1,3,3
2026-08-23,2,1,1,0,1,1
2026-08-24,,,,,8,7
2026-08-25,1,1,,,,
2026-08-26,3,2,,,,
2026-08-27,1,1,,,1,2
