date,clicks,impressions,ctr,position
2026-06-23,0,0,0.00%,0.0
2026-06-24,0,0,0.00%,0.0
2026-06-25,0,0,0.00%,0.0
2026-06-26,0,1,0.00%,3.0
2026-06-27,0,0,0.00%,0.0
2026-06-28,0,0,0.00%,0.0
2026-06-29,0,1,0.00%,4.0
2026-06-30,0,0,0.00%,0.0
2026-07-01,0,1,0.00%,5.0
2026-07-02,0,0,0.00%,0.0
2026-07-03,0,0,0.00%,0.0
2026-07-04,0,0,0.00%,0.0
2026-07-05,0,1,0.00%,10.0
2026-07-06,0,2,0.00%,4.5
2026-07-07,0,3,0.00%,5.7
2026-07-08,0,3,0.00%,6.3
2026-07-09,0,2,0.00%,5.5
2026-07-10,0,14,0.00%,19.8
2026-07-11,0,6,0.00%,26.8
2026-07-12,0,8,0.00%,20.2
2026-07-13,0,5,0.00%,8.6
2026-07-14,0,6,0.00%,34.2
2026-07-15,1,4,25.00%,5.0
2026-07-16,0,8,0.00%,10.6
2026-07-17,0,5,0.00%,21.8
2026-07-18,0,2,0.00%,1.0
2026-07-19,0,1,0.00%,46.0
2026-07-20,1,9,11.11%,7.0
2026-07-21,0,1,0.00%,6.0
2026-07-22,0,5,0.00%,17.2
2026-07-23,0,2,0.00%,22.5
2026-07-24,0,5,0.00%,43.0
2026-07-25,0,2,0.00%,31.5
2026-07-26,0,3,0.00%,5.3
2026-07-27,0,4,0.00%,12.5
2026-07-28,0,2,0.00%,30.0
2026-07-29,0,4,0.00%,5.5
2026-07-30,0,1,0.00%,11.0
2026-07-31,0,3,0.00%,18.7
2026-08-01,0,1,0.00%,1.0
2026-08-02,0,1,0.00%,10.0
2026-08-03,0,1,0.00%,8.0
2026-08-04,1,2,50.00%,5.0
2026-08-05,0,4,0.00%,9.8
2026-08-06,0,2,0.00%,12.5
2026-08-07,0,1,0.00%,7.0
