date,reach,profile_views,followers_count,media_count
2026-05-28,0,0
2026-05-29,0,0
2026-05-30,0,0
2026-05-31,0,0
2026-06-01,101,0
2026-06-02,0,0
2026-06-03,0,0
2026-06-04,0,0
2026-06-05,0,0
2026-06-06,0,0
2026-06-07,0,0
2026-06-08,0,0
2026-06-09,0,0
2026-06-10,0,0
2026-06-11,0,0
2026-06-12,0,0
2026-06-13,0,0
2026-06-14,0,0
2026-06-15,0,0
2026-06-16,0,0
2026-06-17,0,0
2026-06-18,0,0
2026-06-19,1,3
2026-06-20,0,0
2026-06-21,2,0
2026-06-22,110,0
2026-06-23,54,0
2026-06-24,58,0
2026-06-25,3,0
2026-06-26,1,0,2,17
2026-06-27,3,4,3,17
2026-06-28,146,0,3,18
2026-06-29,37,0,3,19
2026-06-30,229,2
2026-07-01,298,4,8,22
2026-07-02,231,2
2026-07-03,116,3
2026-07-04,29,0,9,24
2026-07-05,158,0,10,25
2026-07-06,192,0
2026-07-07,550,6
2026-07-08,587,4
2026-07-09,170,0,15,34
2026-07-10,135,3,16,36
2026-07-11,128,0,17,38
2026-07-12,161,1,17,39
2026-07-13,205,0,17,43
2026-07-14,1110,8,24,44
2026-07-15,1608,14,33,45
2026-07-16,550,2,35,45
2026-07-17,544,3,36,46
2026-07-18,369,1,37,48
2026-07-19,493,2,42,49
2026-07-20,248,4,45,51
2026-07-21,425,5,49,54
2026-07-22,498,4,51,56
2026-07-23,792,10,55,57
2026-07-24,169,2,58,59
2026-07-25,187,0,58,61
2026-07-26,293,1,60,63
2026-07-27,35,0,60,64
2026-07-28,152,0,60,67
2026-07-29,273,5,61,69
2026-07-30,1641,12,,
2026-07-31,974,8,77,73
2026-08-01,817,6,83,76
2026-08-02,221,0,88,79
2026-08-03,559,9,95,79
2026-08-04,791,8,105,81
2026-08-05,2726,44,126,83
2026-08-06,4785,35,156,85
2026-08-07,2338,19,181,88
2026-08-08,4112,42,209,89
2026-08-09,3666,27,232,91
2026-08-10,834,4,234,94
2026-08-11,679,4,234,95
2026-08-12,500,5,235,98
2026-08-13,662,0,240,100
2026-08-14,533,3,241,102
2026-08-15,1497,6,247,104
2026-08-16,1865,8,253,106
2026-08-17,1709,11,270,108
2026-08-18,914,5,276,109
2026-08-19,703,9,282,112
2026-08-20,356,1,282,113
2026-08-21,682,4,283,116
2026-08-22,794,2,287,118
2026-08-23,288,8,288,120
2026-08-24,675,6,290,122
2026-08-25,506,3,292,124
2026-08-26,337,3,291,126
2026-08-27,235,1,291,128
