date,click_users,clicks,ios_clicks,android_clicks,loc_hero,loc_navbar,loc_final_cta,loc_footer,loc_story,loc_place
2026-06-11,1,2,1,1,2,,,,,
2026-06-20,2,2,2,,2,,,,,
2026-06-23,1,1,,1,1,,,,,
2026-06-27,1,1,,1,1,,,,,
2026-06-28,1,1,1,,,,,1,,
2026-07-12,1,1,1,,,1,,,,
2026-07-14,1,1,,1,1,,,,,
2026-07-15,1,1,1,,,,,,,1
2026-07-21,1,1,1,,1,,,,,
2026-07-22,1,1,1,,,,1,,,
2026-07-27,1,1,1,,,,,1,,
2026-07-31,1,4,4,,4,,,,,
2026-08-05,3,8,8,,5,3,,,,
2026-08-06,2,8,7,1,4,2,2,,,
2026-08-07,2,9,7,2,8,1,,,,
2026-08-08,3,8,7,1,7,1,,,,
2026-08-09,6,16,16,,8,8,,,,
2026-08-20,1,1,1,,,1,,,,
