date,cohort_size,d1_retained,d1_rate,d7_retained,d7_rate
2026-06-25,2,0,0.000,0,0.000
2026-06-26,6,0,0.000,0,0.000
2026-06-27,4,0,0.000,0,0.000
2026-06-28,5,0,0.000,0,0.000
2026-06-29,12,1,0.083,0,0.000
2026-06-30,8,0,0.000,0,0.000
2026-07-01,1,0,0.000,0,0.000
2026-07-02,6,0,0.000,0,0.000
2026-07-03,7,0,0.000,0,0.000
2026-07-04,5,0,0.000,0,0.000
2026-07-05,9,0,0.000,0,0.000
2026-07-06,4,0,0.000,0,0.000
2026-07-07,2,0,0.000,0,0.000
2026-07-08,7,0,0.000,0,0.000
2026-07-09,2,0,0.000,0,0.000
2026-07-10,4,0,0.000,0,0.000
2026-07-11,5,1,0.200,0,0.000
2026-07-12,2,0,0.000,0,0.000
2026-07-13,3,0,0.000,0,0.000
2026-07-14,2,0,0.000,0,0.000
2026-07-15,3,0,0.000,0,0.000
2026-07-16,1,0,0.000,0,0.000
2026-07-17,1,0,0.000,0,0.000
2026-07-18,1,0,0.000,0,0.000
2026-07-19,1,0,0.000,0,0.000
2026-07-21,2,0,0.000,0,0.000
2026-07-22,3,0,0.000,0,0.000
2026-07-23,6,0,0.000,0,0.000
2026-07-24,12,0,0.000,0,0.000
2026-07-25,4,0,0.000,0,0.000
2026-07-26,17,0,0.000,0,0.000
2026-07-27,13,2,0.154,0,0.000
2026-07-28,10,0,0.000,0,0.000
2026-07-29,7,0,0.000,0,0.000
2026-07-30,15,0,0.000,0,0.000
2026-07-31,7,0,0.000,0,0.000
2026-08-01,7,0,0.000,0,0.000
2026-08-02,1,0,0.000,0,0.000
2026-08-05,7,1,0.143,0,0.000
2026-08-06,9,0,0.000,0,0.000
2026-08-07,6,0,0.000,0,0.000
2026-08-08,7,1,0.143,0,0.000
2026-08-09,10,1,0.100,1,0.100
2026-08-10,3,0,0.000,0,0.000
2026-08-11,6,0,0.000,0,0.000
2026-08-12,1,0,0.000,0,0.000
2026-08-15,1,0,0.000,0,0.000
2026-08-18,3,0,0.000,0,0.000
2026-08-19,3,0,0.000,0,0.000
2026-08-20,20,0,0.000,0,0.000
2026-08-21,10,0,0.000,0,0.000
2026-08-22,4,0,0.000,0,0.000
2026-08-23,3,0,0.000,0,0.000
2026-08-24,8,0,0.000,0,0.000
2026-08-25,1,0,0.000,0,0.000
2026-08-26,2,0,0.000,0,0.000
2026-08-27,2,0,0.000,0,0.000
