date,mrr,active_subscriptions,active_trials,active_users_28d,new_customers_28d,revenue_28d
2026-06-30,0,0,0,140,139,0
2026-07-01,0,0,0,126,125,0
2026-07-05,0,0,0,150,149,0
2026-07-09,0,0,0,163,162,0
2026-07-10,0,0,0,161,160,0
2026-07-11,0,0,0,162,161,0
2026-07-12,0,0,0,158,157,0
2026-07-13,0,0,0,154,153,0
2026-07-14,0,0,0,154,153,0
2026-07-15,0,0,0,151,150,0
2026-07-16,0,0,0,151,150,0
2026-07-17,0,0,0,148,147,0
2026-07-18,0,0,0,135,134,0
2026-07-19,0,0,0,133,132,0
2026-07-20,0,0,0,133,132,0
2026-07-21,0,0,0,127,126,0
2026-07-22,0,0,0,134,133,0
2026-07-23,0,0,0,147,146,0
2026-07-24,0,0,0,156,155,0
2026-07-25,0,0,0,162,161,0
2026-07-26,0,0,0,185,184,0
2026-07-27,0,0,0,199,198,0
2026-07-28,0,0,0,201,200,0
2026-07-29,0,0,0,201,200,0
2026-07-31,0,0,0,209,208,0
2026-08-01,0,0,0,224,223,0
2026-08-02,0,0,0,202,201,0
2026-08-03,0,0,0,198,197,0
2026-08-04,0,0,0,188,187,0
2026-08-05,0,0,0,191,190,0
2026-08-06,0,0,0,197,196,0
2026-08-07,0,0,0,200,199,0
2026-08-08,0,0,0,208,207,0
2026-08-09,0,0,0,209,208,0
2026-08-10,0,0,0,210,209,0
2026-08-11,0,0,0,219,218,0
2026-08-12,0,0,0,217,216,0
2026-08-13,0,0,0,219,218,0
2026-08-14,0,0,0,219,218,0
2026-08-15,0,0,0,219,218,0
2026-08-16,0,0,0,219,218,0
2026-08-17,0,0,0,219,218,0
2026-08-18,0,0,0,222,221,0
2026-08-19,0,0,0,226,224,0
2026-08-20,0,0,0,240,238,0
2026-08-21,0,0,0,241,240,0
2026-08-22,0,0,0,241,240,0
2026-08-23,0,0,0,217,216,0
2026-08-24,0,0,0,212,210,0
2026-08-25,0,0,0,197,196,0
2026-08-26,0,0,0,189,188,0
2026-08-27,0,0,0,164,163,0
