date,installs,active_devices,avg_rating_daily,avg_rating_total,store_listing_visitors,store_listing_acquisitions
2026-06-27,,,,,1,0
2026-07-14,,,,,1,0
2026-07-22,0,1,,,1,1
2026-07-23,0,1,,,,
2026-07-24,0,1,,,,
2026-07-25,0,1,,,,
2026-07-26,0,1,,,,
2026-07-27,0,1,,,,
2026-07-28,0,1,,,,
2026-07-29,0,2,,,,
2026-07-30,0,1,,,,
2026-07-31,0,1,,,,
2026-08-01,0,1,,,,
2026-08-02,0,1,,,,
2026-08-03,0,1,,,,
2026-08-04,0,1,,,,
2026-08-05,,,,,1,0
2026-08-06,,,,,1,0
2026-08-07,0,1,,,,
2026-08-08,0,1,,,,
2026-08-09,0,1,,,,
2026-08-10,0,1,,,,
2026-08-11,0,1,,,,
2026-08-12,0,2,,,,
2026-08-13,0,1,,,,
2026-08-14,0,1,,,,
2026-08-15,0,2,,,,
2026-08-16,0,1,,,,
2026-08-17,0,1,,,,
2026-08-18,0,1,,,,
2026-08-19,0,1,,,,
