date,impressions,product_page_views
2026-07-19,18,0
2026-07-20,29,0
2026-07-21,36,3
2026-07-22,25,1
2026-07-23,19,1
2026-07-24,40,2
2026-07-25,22,3
2026-07-26,29,1
2026-07-27,45,2
2026-07-28,107,2
2026-07-29,40,1
2026-07-30,36,0
2026-07-31,78,0
2026-08-01,51,3
2026-08-02,45,2
2026-08-03,41,0
2026-08-04,65,3
2026-08-05,36,6
2026-08-06,68,2
2026-08-07,51,1
2026-08-08,62,10
2026-08-09,55,0
2026-08-10,48,0
2026-08-11,68,2
2026-08-12,91,0
2026-08-13,68,0
2026-08-14,52,4
2026-08-15,57,1
2026-08-16,44,2
2026-08-17,42,2
2026-08-18,43,8
2026-08-19,27,3
2026-08-20,29,1
2026-08-21,61,1
2026-08-22,34,0
